INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,491 autoreload Waiting for apps ready_event.
DEBUG 2024-08-01 23:57:15,501 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-01 23:57:15,560 autoreload Watching dir E:\DjangoProject\DjangoApplication\UAS\templates with glob **/*.
DEBUG 2024-08-01 23:57:15,561 autoreload Watching dir E:\DjangoProject\DjangoApplication\UAS\locale with glob **/*.mo.
DEBUG 2024-08-01 23:57:15,561 autoreload Watching dir E:\DjangoProject\DjangoApplication\UAS\participant\locale with glob **/*.mo.
DEBUG 2024-08-01 23:57:15,563 autoreload Watching dir E:\DjangoProject\DjangoApplication\UAS\programms\locale with glob **/*.mo.
DEBUG 2024-08-01 23:57:15,563 autoreload Watching dir E:\DjangoProject\DjangoApplication\UAS\users\locale with glob **/*.mo.
DEBUG 2024-08-01 23:57:15,710 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1699555232.1876123
DEBUG 2024-08-01 23:57:15,721 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\context.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,722 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\errors.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,722 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\reprlib.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,724 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\DLLs\_queue.pyd first seen with mtime 1718723636.4901505
DEBUG 2024-08-01 23:57:15,724 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,724 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,724 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1699555232.1876123
DEBUG 2024-08-01 23:57:15,727 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,728 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\__init__.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,728 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1699555230.300725
DEBUG 2024-08-01 23:57:15,729 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\DLLs\unicodedata.pyd first seen with mtime 1718723602.398722
DEBUG 2024-08-01 23:57:15,729 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,729 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1699497471.2279625
DEBUG 2024-08-01 23:57:15,729 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\glob.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1699555232.1613338
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\threading.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,731 autoreload File E:\DjangoProject\DjangoApplication\UAS\participant\apps.py first seen with mtime 1722278255.7399313
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1699555230.880457
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,731 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1699555232.0813477
DEBUG 2024-08-01 23:57:15,736 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\backends\postgresql\introspection.py first seen with mtime 1699555232.0500054
DEBUG 2024-08-01 23:57:15,736 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1699555231.9974258
DEBUG 2024-08-01 23:57:15,736 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\inspect.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,738 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\exceptions.py first seen with mtime 1717698404.0
